Resource,Accession or source,Disease context,Role in study,Notes
TCGA-LUAD,Genomic Data Commons,Lung adenocarcinoma,"Discovery, histology-stratified analyses and score characterization",Public de-identified data
TCGA-LUSC,Genomic Data Commons,Lung squamous cell carcinoma,"Discovery, histology-stratified analyses and score characterization",Public de-identified data
GSE31210,Gene Expression Omnibus,NSCLC or LUAD context,External survival traceability assessment,Public transcriptomic cohort
GSE30219,Gene Expression Omnibus,NSCLC context,External survival traceability assessment,Public transcriptomic cohort
GSE37745,Gene Expression Omnibus,NSCLC context,External survival traceability assessment,Public transcriptomic cohort
GSE42127,Gene Expression Omnibus,NSCLC context,External survival traceability assessment,Public transcriptomic cohort
GSE50081,Gene Expression Omnibus,NSCLC context,External survival traceability assessment,Public transcriptomic cohort
GSE68465,Gene Expression Omnibus,NSCLC context,External survival traceability assessment,Public transcriptomic cohort
GSE72094,Gene Expression Omnibus,NSCLC or LUAD context,External survival traceability assessment,Public transcriptomic cohort
GSE126044,Gene Expression Omnibus,Immunotherapy-associated public dataset,Exploratory immune-context analysis,Not used to establish treatment-response prediction
GSE135222,Gene Expression Omnibus,Immunotherapy-associated public dataset,Exploratory immune-context analysis,Not used to establish treatment-response prediction
GSE91061,Gene Expression Omnibus,Immunotherapy-associated public dataset,Exploratory immune-context analysis,Not used to establish treatment-response prediction
Public spatial transcriptomics resources,Public repositories and source publications,Tumor microenvironment context,Spatial organization and immune-neighborhood context,Used for spatial context only
Public proteomic resources,CPTAC/PDC and related public resources where applicable,Lung cancer context,Protein-level context,Does not substitute for in-house IHC or multiplex imaging
