Relative path,File type,Size bytes,Last modified,Inventory generated
Comparator_Marker_Survival_Results.csv,csv,15383,2026-05-16T19:02:48,2026-05-18T00:25:53
Data_Figure_Source_Manifest.xlsx,xlsx,8169,2026-05-18T00:16:05,2026-05-18T00:25:53
Fig6_GEO_7Cohort_C1Q_PerSD_HR_Source.csv,csv,4939,2026-05-17T07:35:23,2026-05-18T00:25:53
Fig6_GEO_7Cohort_C1Q_PerSD_HR_Source_Workbook.xlsx,xlsx,100321,2026-05-17T07:35:23,2026-05-18T00:25:53
Histology_Stratified_C1Q_Survival_Results.csv,csv,2227,2026-05-16T19:02:49,2026-05-18T00:25:53
Public_Proteomic_C1Q_Marker_Correlations.csv,csv,1361,2026-05-16T19:04:33,2026-05-18T00:25:53
S10_Fig_PanCancer_Context_Source_Data.xlsx,xlsx,11550,2026-05-08T20:11:50,2026-05-18T00:25:53
Tables/CSV/S10_Table_Immunotherapy_Context_Trends.csv,csv,366,2026-05-17T19:05:56,2026-05-18T00:25:53
Tables/CSV/S1_Table_Model_Benchmarking.csv,csv,261,2026-05-17T19:05:56,2026-05-18T00:25:53
Tables/CSV/S2_Table_Feature_Selection_Score_Construction.csv,csv,1686,2026-05-17T19:05:56,2026-05-18T00:25:53
Tables/CSV/S3_Table_Spatial_Autocorrelation_Hotspots.csv,csv,1126,2026-05-17T19:05:56,2026-05-18T00:25:53
Tables/CSV/S4_Table_Immune_Marker_Cell_Context_Correlations.csv,csv,748,2026-05-17T19:05:56,2026-05-18T00:25:53
Tables/CSV/S5_Table_Computational_Attenuation.csv,csv,700,2026-05-17T19:05:56,2026-05-18T00:25:53
Tables/CSV/S6_Table_Network_Consistency.csv,csv,225,2026-05-17T19:05:56,2026-05-18T00:25:53
Tables/CSV/S7_Table_External_Survival_Immunotherapy_Context.csv,csv,933,2026-05-17T19:45:43,2026-05-18T00:25:53
Tables/CSV/S8_Table_Spatial_Dataset_QC_Summary.csv,csv,2801,2026-05-17T19:05:56,2026-05-18T00:25:53
Tables/CSV/S9_Table_Functional_Annotation_Selected_Genes.csv,csv,715,2026-05-17T19:05:56,2026-05-18T00:25:53
Tables/Supplementary_Tables_Machine_Readable.xlsx,xlsx,19957,2026-05-17T19:45:43,2026-05-18T00:25:53
