item,file_in_repository,source_or_support,notes
Main manuscript,"manuscript/main_manuscript.tex; manuscript/main_manuscript.pdf; manuscript/main_manuscript.docx",Final revised manuscript files,Prepared for Cancer Informatics Original Research submission; not a clinical-use document.
Supplementary material,"supplementary/supplementary_material.tex; supplementary/supplementary_material.pdf; supplementary/supplementary_material.docx",Final revised supplementary files,Includes Supplementary Figures S1-S12 and Supplementary Tables S1-S13.
Figure 1,figures/Figure1.pdf,Main manuscript figure,Integrated study design and evidence overview.
Figure 2,figures/Figure2.pdf,Main manuscript figure,MR-based gene prioritization and sensitivity diagnostics; not causal proof.
Figure 3,figures/Figure3.pdf,Main manuscript figure,Spatial mapping of C1Q/SPP1 macrophage-context patterns.
Figure 4,figures/Figure4.pdf,Main manuscript figure,Spatial context and neighborhood summaries interpreted descriptively.
Figure 5,figures/Figure5.pdf,Main manuscript figure,Counterfactual C1QA scoring sensitivity; not experimental perturbation.
Figure 6,"figures/Figure6.pdf; figures/Figure6.png",Main manuscript figure,Retrospective score behavior and exploratory decision-curve visualization.
Figure 7,figures/Figure7.pdf,Main manuscript figure,External GSE31210 score-traceability summary.
Figure 8,figures/Figure8.pdf,Main manuscript figure,Public HPA protein-expression context and descriptive CosMx neighborhood view.
Supplementary figures,"figures/FigureS1.pdf; figures/FigureS2.pdf; figures/FigureS3.pdf; figures/FigureS4.pdf; figures/FigureS5.pdf; figures/FigureS6.pdf; figures/FigureS7.pdf; figures/FigureS8.pdf; figures/FigureS9.pdf; figures/FigureS10.pdf",Supplementary figure files,Supplementary visual support for quality checks, model behavior, spatial context, and MR-prioritization sensitivity.
Counterfactual scoring-sensitivity figures,"figures/scoring_sensitivity/FigureY_hotspot_collapse.pdf; figures/scoring_sensitivity/FigureS12_mechanism_modules.pdf; figures/scoring_sensitivity/FigureX_counterfactual_attenuation.pdf; figures/scoring_sensitivity/FigureZ_counterfactual_sensitivity.pdf",Computational scoring-sensitivity outputs,Included as sensitivity evidence only; not experimental perturbation or causal proof.
Counterfactual scoring-sensitivity source tables,"figures/scoring_sensitivity/*.csv; figures/scoring_sensitivity/*.json",Computational scoring-sensitivity tables,Support reviewer inspection of dose-response, spatial-scale, network, and specificity summaries.
HPA image-source documentation,data/hpa_image_sources.csv,Human Protein Atlas source and license traceability,Documents public protein-expression context and use boundary for Figure 8.
Machine-readable source-data archive,data/S1_source_data_and_machine_readable_tables.zip,Processed source-data tables used for repository checks,Supports reviewer inspection and traceability; not a complete raw-data-to-figure pipeline.
Evidence-chain map,data/evidence_chain_map.csv,Claim-to-source mapping,Maps major claims to data layer, analysis support, allowed conclusion, and inference boundary.
Source-data integrity script,code/check_source_data.R,Repository integrity check,Verifies the source-data archive exists and writes release/source_data_inventory.csv.
Source-data inventory,release/source_data_inventory.csv,Generated by code/check_source_data.R,Lists files present inside the source-data archive.
Reporting boundary notes,docs/REPORTING_AND_REVIEWER_BOUNDARIES.md,Reviewer-facing inference-boundary document,States what the repository supports and what it does not support.
Cancer Informatics readiness notes,docs/CANCER_INFORMATICS_SUBMISSION_READINESS.md,Submission-readiness checklist,Tracks journal-facing formatting and reporting checks.
Deep scientific editing report,"docs/DEEP_SCIENTIFIC_EDITING_REPORT_20260622.md; docs/DEEP_SCIENTIFIC_EDITING_REPORT_20260622.docx",Strategic developmental-editing report,Summarizes major issues found, editorial actions taken, likely reviewer/editor perception, and future writing strategy.
Cancer Informatics cover letter draft,"docs/COVER_LETTER_CANCER_INFORMATICS.md; docs/COVER_LETTER_CANCER_INFORMATICS.docx",Submission cover-letter support,Provides conservative journal-facing framing aligned with the revised manuscript.
Reviewer response template,"docs/REVIEWER_RESPONSE_TEMPLATE.md; docs/REVIEWER_RESPONSE_TEMPLATE.docx",Future revision support,Provides response structure and standard boundary language for likely reviewer concerns.
Deep editing implementation addendum,docs/DEEP_REPORT_IMPLEMENTATION_ADDENDUM_20260622.md,Editorial implementation note,Documents how the deep scientific editing report was translated into further manuscript revisions.
Data and code availability,docs/DATA_AND_CODE_AVAILABILITY.md,Public availability statement,Clarifies public data sources and code limitations.
Public release checklist,docs/PUBLIC_RELEASE_CHECKLIST.md,Repository release checklist,Tracks remaining public-release actions including DOI archiving.
