node,degree_before,degree_after,delta
C1QA,0.125,0.0,-0.125
CD14,0.0625,0.0,-0.0625
CSF1R,0.0625,0.0,-0.0625
BCL2,0.0625,0.06666666666666667,0.004166666666666666
BOK,0.0625,0.06666666666666667,0.004166666666666666
C1QC,0.0625,0.06666666666666667,0.004166666666666666
CD163,0.0625,0.06666666666666667,0.004166666666666666
ACP5,0.0625,0.06666666666666667,0.004166666666666666
CTLA4,0.0625,0.06666666666666667,0.004166666666666666
CD68,0.0625,0.06666666666666667,0.004166666666666666
CD8A,0.0625,0.06666666666666667,0.004166666666666666
CSF2RB,0.0625,0.06666666666666667,0.004166666666666666
IFNG,0.0625,0.06666666666666667,0.004166666666666666
HIST1H4F,0.0625,0.06666666666666667,0.004166666666666666
IL10,0.0625,0.06666666666666667,0.004166666666666666
C1QB,0.125,0.13333333333333333,0.008333333333333331
KCNAB2,0.125,0.13333333333333333,0.008333333333333331
