node,degree_before,degree_after,degree_delta,betweenness_before,betweenness_after,betweenness_delta,eigenvector_before,eigenvector_after,eigenvector_delta
C1QA,0.125,0.0,-0.125,0.008333333333333333,0.0,-0.008333333333333333,0.40824829033329874,0.0,-0.40824829033329874
CD14,0.0625,0.0,-0.0625,0.0,0.0,0.0,0.28867513450249,6.295210406992062e-23,-0.28867513450249
CSF1R,0.0625,0.0,-0.0625,0.0,0.0,0.0,0.28867513450249,6.295210406992062e-23,-0.28867513450249
BCL2,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,8.941699348381326e-06,9.072354317807462e-06,1.3065496942613624e-07
BOK,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,8.941699348381326e-06,9.072354317807462e-06,1.3065496942613624e-07
C1QC,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,8.941699348381326e-06,9.072354317807462e-06,1.3065496942613624e-07
CD163,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,0.28867513450249,0.35355339047687323,0.06487825597438324
ACP5,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,8.941699348381326e-06,9.072354317807462e-06,1.3065496942613624e-07
CTLA4,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,0.28867513450249,0.35355339047687323,0.06487825597438324
CD68,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,8.941699348381326e-06,9.072354317807462e-06,1.3065496942613624e-07
CD8A,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,0.28867513450249,0.35355339047687323,0.06487825597438324
CSF2RB,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,0.28867513450249,0.35355339047687323,0.06487825597438324
IFNG,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,8.941699348381326e-06,9.072354317807462e-06,1.3065496942613624e-07
HIST1H4F,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,8.941699348381326e-06,9.072354317807462e-06,1.3065496942613624e-07
IL10,0.0625,0.06666666666666667,0.004166666666666666,0.0,0.0,0.0,8.941699348381326e-06,9.072354317807462e-06,1.3065496942613624e-07
C1QB,0.125,0.13333333333333333,0.008333333333333331,0.008333333333333333,0.009523809523809525,0.0011904761904761915,0.40824829033329874,0.4999999998353848,0.09175170950208605
KCNAB2,0.125,0.13333333333333333,0.008333333333333331,0.008333333333333333,0.009523809523809525,0.0011904761904761915,0.40824829033329874,0.4999999998353848,0.09175170950208605
