gene,n_snps,forward_beta,forward_se,forward_pval,reverse_beta,reverse_se,reverse_pval,steiger_var_exposure,steiger_var_outcome,steiger_forward_supported,reverse_not_supported_p_gt_0.05,is_focus_gene
KCNAB2,267,-0.08016535752042857,0.01028188394185818,6.351804797968174e-15,-2.4577253644965693,0.16203334504301467,5.758609460416345e-52,14.25059849137887,0.3808826626542545,True,False,True
PARK7,214,0.09748942265244277,0.012758265994936827,2.1508064375348276e-14,2.9380384424312687,0.22380461020837417,2.2850944987675153e-39,6.56850316128495,0.199646611320967,True,False,False
ISG15,54,0.310063783970722,0.02444211749829888,7.103569177713759e-37,2.783324925732709,0.22344593093068407,1.2911697758975125e-35,1.7469708555199237,0.20028807815035998,True,False,False
RP4-758J18.13,34,-0.4124648018100408,0.04204546633390179,1.019979558534996e-22,-2.382795986632853,0.3095458467386997,1.3851991867149667e-14,0.6006481765169415,0.10436383687912001,True,False,False
MTHFR,39,0.14647257582103515,0.043911376354298495,0.0008510306505955621,5.523827123002686,0.7427119825777836,1.0270611728200101e-13,0.6932553027574366,0.0181283859486897,True,False,False
GLTPD1,36,0.10227732772221156,0.056555571934762905,0.07053813181275251,6.260679214448371,1.0017791660493607,4.1161004697625187e-10,0.6376316468144944,0.0099645114171945,True,False,False
SPSB1,24,0.05752690196512523,0.04556058656418133,0.20671635294598245,11.898017498830253,1.9898415911161789,2.239895398458219e-09,0.5501806219536093,0.0025255908283125,True,False,False
PLOD1,146,0.03891204322333245,0.013883317386473743,0.005066241845677529,1.8033292745115224,0.3157038845285143,1.1159647166577604e-08,4.910374603126723,0.10033215692332742,True,False,False
FBXO2,26,0.2074526303460411,0.062066907029378546,0.0008305631065822902,2.1570207376543684,0.3790048519018924,1.2609443101705643e-08,0.5833726948978396,0.0696162235564871,True,False,False
MMP23B,14,0.20205322309207482,0.062278767799931675,0.0011772495553972807,4.350865722362287,0.9016315803258094,1.3961941269236424e-06,0.26397989627486873,0.01230103829167,True,False,False
H6PD,48,-0.1141237042271807,0.036898800992441284,0.001982217264328302,-2.7793158878635444,0.5785040068645039,1.552816494510883e-06,1.0398674319421106,0.02988045850836415,True,False,False
FBXO6,11,0.35394559844384366,0.07243746558154027,1.027888568760107e-06,2.8155594516028075,0.6468390383079229,1.344111948082841e-05,0.18999799783096324,0.02390053125778,True,False,False
PLCH2,5,-0.11907854931937607,0.08866846922517203,0.1792836777753395,-6.033352488633959,1.9266509329167534,0.001739019244654487,0.1473390029447935,0.0026939772618,True,False,False
DRAXIN,4,0.27252055054005925,0.13632504006179916,0.045602960735974744,3.091196812938466,1.180675762530316,0.008840561477414102,0.07562524442857614,0.00717362555958,True,False,False
GPR153,5,-0.1075386800414095,0.10813610577053277,0.3199915524895164,-7.293765011903831,2.935830300546458,0.012977141328028175,0.07879603002254347,0.001160214003540016,True,False,False
C1orf174,30,0.036227265289806465,0.045737778869395125,0.42832314042195363,0.5343289220576732,0.21813480912093994,0.01430406753952011,0.5970840775984229,0.21015999607547003,True,False,False
TNFRSF14,93,0.001346613527377225,0.01802072457861024,0.9404328590229876,-1.2237086785414866,0.5351188453953849,0.022207619223771936,3.0417119558540353,0.03492203218251485,True,False,False
C1orf86,16,0.059992031167813695,0.03851259669072718,0.11929847317359811,1.464376542443862,0.6837237392506785,0.03221228320420363,0.7785295658886523,0.0213913740470104,True,False,False
UBE4B,25,0.036860445983953105,0.05637049111435355,0.5131787274333522,1.5246819463777324,0.7200706361340028,0.03422539823713884,0.4856407697620302,0.01928633906996706,True,False,False
UTS2,3,0.2644539527443185,0.2512420045340701,0.2925305278699243,0.7341196439846628,0.5089992430944913,0.14922328047797034,0.05793046496916941,0.03859808222505999,True,True,False
AGTRAP,46,0.021920202534504322,0.024823532674173972,0.3772140017965908,0.9199837792963727,0.7300151629272945,0.20758799894242086,1.9657074540453021,0.0187644672363994,True,True,False
NPPA-AS1,3,-0.0869863964170981,0.25500149923838955,0.7330124040968684,-0.6325605027869303,2.061153892309982,0.75892230562282,0.04648211857259156,0.00235385205198,True,True,False
CDK11A,1,,,,,,,0.01664399989838861,0.00392498491009,True,False,False
ENO1,2,,,,,,,0.030969076728042003,0.019648927161169998,True,False,False
PANK4,1,,,,,,,0.015727945628411233,0.00240971028544,True,False,False
RP1-202O8.3,1,,,,,,,0.023849710891685857,0.0023201851248899996,True,False,False
RP11-206L10.9,2,,,,,,,0.03748016240597544,0.0048071151353,True,False,False
RP3-467L1.4,2,,,,,,,0.03199337520334749,0.0005359697220999999,True,False,False
SMIM1,2,,,,,,,0.03460497771215762,0.0001893216255976,True,False,False
VPS13D,1,,,,,,,0.016333365562094953,7.1879754816e-06,True,False,False
